designation;reference;url_product;Fournisseur
MÉLANGE D'HUILE DE TOURNSESOL ET D'HUILE D'OLIVE VIERGE EXTRA (20%);14185;/Les-produits/L-epicerie/L-huile--le-vinaigre-et-corps-gras/Les-huiles-pour-assaisonnement/Les-huiles-pour-assaisonnement/Melange-d-huile-de-tournsesol-et-d-huile-d-olive-vierge-extra-%2820%25%29/p/000000000000014185;Sysco
GANT NITRILE NOIR TAILLE L 8/9;15861;/Produits/Gant-nitrile-noir-taille-L-8-9/p/000000000000015861;Sysco
BEURRE MICROPAIN DEMI-SEL;82191;/Promotions/Beurre-micropain-demi-sel/p/000000000000082191;Sysco
BEURRE MICROPAIN DOUX;82192;/Promotions/Beurre-micropain-doux/p/000000000000082192;Sysco
APPAREIL À TIRAMISU;81708;/Promotions/Appareil-a-tiramisu/p/000000000000081708;Sysco
CABÉCOU DU PÉRIGORD;81938;/Promotions/Cabecou-du-Perigord/p/000000000000081938;Sysco
COULIS DE FRUITS EXOTIQUES;39664;/Promotions/Coulis-de-fruits-exotiques/p/000000000000039664;Sysco
CHORIZO PUR PORC TRANCHÉ;44032;/Les-produits/La-charcuterie/La-charcuterie-tranchee-et-aide-culinaire/La-salaison-seche-tranchee/La-salaison-seche-tranchee/Chorizo-pur-porc-tranche/p/000000000000044032;Sysco
MAROILLES AOP;80520;/Produits/Maroilles-AOP/p/000000000000080520;Sysco
POIS CHICHE AU NATUREL;19312;/Produits/Pois-chiche-au-naturel/p/000000000000019312;Sysco
VIN BLANC;17044;/Produits/Vin-blanc/p/000000000000017044;Sysco
BLEU D'AUVERGNE AOP;80032;/Promotions/Bleu-d-Auvergne-AOP/p/000000000000080032;Sysco
NUTELLA;18572;/Promotions/Nutella/p/000000000000018572;Sysco
STEAK HACHÉ ROND FAÇON BOUCHÈRE BLACK ANGUS;73962;/Promotions/Steak-hache-rond-facon-bouchere-Black-Angus/p/000000000000073962;Sysco
LARDON FUMÉ N°2 8/8;11065;/Produits/Lardon-fume-n%C2%B02-8-8/p/000000000000011065;Sysco
MAÏS DOUX EN GRAINS;14395;/Promotions/Mais-doux-en-grains/p/000000000000014395;Sysco
MAGRET DE CANARD ENTIER;47537;/Promotions/Magret-de-canard-entier/p/000000000000047537;Sysco
BEIGNET DE CALAMAR À LA ROMAINE;78290;/Promotions/Beignet-de-calamar-a-la-romaine/p/000000000000078290;Sysco
ÉMINCÉ DE POULET RÔTI;74888;/Produits/Emince-de-poulet-roti/p/000000000000074888;Sysco
TOMATE CONFITE AUX HERBES;42313;/Produits/Tomate-confite-aux-herbes/p/000000000000042313;Sysco
RIZ LONG GRAIN ÉTUVÉ QUALITÉ SUPÉRIEURE;16697;/Les-produits/L-epicerie/Les-legumes-et-feculents/Le-riz/Le-riz/Riz-long-grain-etuve-qualite-superieure/p/000000000000016697;Sysco
MOZZARELLA COSSETTE;41322;/Promotions/Mozzarella-cossette/p/000000000000041322;Sysco
EMMENTAL RÂPÉ FRANÇAIS;80280;/Promotions/Emmental-rape-francais/p/000000000000080280;Sysco
TRANCHETTE DE BACON FUMÉ GRILLÉ;76155;/Promotions/Tranchette-de-bacon-fume-grille/p/000000000000076155;Sysco
CHAPELURE PANKO;18409;/Promotions/Chapelure-panko/p/000000000000018409;Sysco
MAXI COOKIE DOUBLE CHOCOLAT;77693;/Les-produits/Les-desserts/Les-desserts-individuels/Les-desserts-americains/Les-desserts-americains/Maxi-cookie-double-chocolat/p/000000000000077693;Sysco
FROMAGE BLANC BATTU LISSE;80507;/Promotions/Fromage-blanc-battu-lisse/p/000000000000080507;Sysco
MARGARINE DE CUISINE;80147;/Promotions/Margarine-de-cuisine/p/000000000000080147;Sysco
CONFIT DE CUISSE DE CANARD;47635;/Promotions/Confit-de-cuisse-de-canard/p/000000000000047635;Sysco
SAUCE BURGER SQUEEZE;18394;/Promotions/Sauce-burger-Squeeze/p/000000000000018394;Sysco
